id,rating,date,content,coordinates,place
37,1,2022-04-12 07:23:52+00:00,"#LeyteNeedHelp 

My Aunt is frim Baybay Leyte and they’ve been helping out people and extending help to the people in the evacuation center.

As much as they would like to shell out funds kulang na kulang.

Snippets from Baybay. https://t.co/iygip6CCeY","{'longitude': 124.3897282, 'latitude': 11.2018865}","{'fullName': 'Leyte, Eastern Visayas', 'name': 'Leyte', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
38,0,2022-04-12 07:22:22+00:00,@PinoyAkoBlog Malaki tulong yung pagpunta ni Miss Aika Robredo dito by visiting Lapulapu and Talisay markets kase nagmamatter talaga yung presence - H2H is really effective,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
39,2,2022-04-12 07:21:43+00:00,"We need HELP
#RescuePH #LeyteNeedsHelp #BaybayNeedsHelp #AgatonPH #BasyangPH https://t.co/dqMU01bgaM","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
40,0,2022-04-12 06:58:27+00:00,Alas dos palang pero grabe andilim na ng paligid. Mas malakas pa ang ulan ngayon kesa kahapon 😅,"{'longitude': 124.3892082, 'latitude': 11.5046982}","{'fullName': 'Naval, Eastern Visayas', 'name': 'Naval', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
41,0,2022-04-12 06:51:38+00:00,"Sana mag stop na yung ulan. 🥺

#Agaton beke nemen. 🥺 https://t.co/1txY2OIETD","{'longitude': 123.9114563, 'latitude': 10.3107867}","{'fullName': 'Mandaue City, Central Visayas', 'name': 'Mandaue City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
42,0,2022-04-12 06:40:22+00:00,"Lord, please mustop nata ang uwan gamay nlang jd kuwang nana jd sa pultahan namo ang baha","{'longitude': 123.8393178, 'latitude': 10.4764289}","{'fullName': 'Danao City, Central Visayas', 'name': 'Danao City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
43,0,2022-04-12 06:39:53+00:00,Lingaw kayko nag road trip mis uwan pero naguol pag ule kay baha na deay amoa huhuhu,"{'longitude': 123.8393178, 'latitude': 10.4764289}","{'fullName': 'Danao City, Central Visayas', 'name': 'Danao City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
44,0,2022-04-12 05:40:38+00:00,Murag qouta naman tawon tas mga bagyo ani.   😢,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
45,0,2022-04-12 05:36:32+00:00,Kana dung ka lakaw niya mo bundak mag puyo ta oi!!! #AgathonPH #BasyangPH #cebu #lapulapu #ulan #cebuano #pinoy #bisaya https://t.co/Hu2m2l1zdn,"{'longitude': 123.9032815, 'latitude': 10.2451082}","{'fullName': 'Cordoba, Central Visayas', 'name': 'Cordoba', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
46,1,2022-04-12 05:29:02+00:00,@LGenabe @itsCanete0520 @ray_ado hi Ati. Grabe ulan dito. Dmung bagyo. Mga Kalsada sa probinsiya bumibiyak na,"{'longitude': 123.9114563, 'latitude': 10.3107867}","{'fullName': 'Mandaue City, Central Visayas', 'name': 'Mandaue City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
47,2,2022-04-12 04:47:10+00:00,"!! BAYBAY CITY LEYTE NEEDS HELP !! 

Calling the attention of all rescuers from different agencies or organizations, rescuers from different municipalities, rescuers of the Philippines, the people of BAYBAY CITY, Leyte need your help

#rescue #BaybayCityNeedsHelp https://t.co/lQnUbi5qqv","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
48,0,2022-04-12 04:34:57+00:00,Thank you sunshines..malaking tulong na po ito..sa gusto pa pong tumulong..maraming salamt po.. https://t.co/SRDJ90k2jI,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
49,0,2022-04-12 04:19:49+00:00,"dapat kahapon pa flight namin pabalik ng mnl, pero stranded pa rin kami dito sa bantayan island. 🥲

bale dalawang bagyo na naabutan namin dito… bat naman ganon lord… #AgatonPH #BasyangPH","{'longitude': 123.7565237, 'latitude': 11.1474093}","{'fullName': 'Santa Fe, Central Visayas', 'name': 'Santa Fe', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
50,1,2022-04-12 03:34:57+00:00,My heart hurt so muchhhh 😭 May all your souls rest in peace to the victims of landslide in Baybay Leyte 🙏😭 #BaybayNeedsHelp,"{'longitude': 124.7521175, 'latitude': 10.1103384}","{'fullName': 'City Of Maasin, Eastern Visayas', 'name': 'City Of Maasin', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
51,0,2022-04-12 03:00:48+00:00,Tropahin natin yung bagyo kasi tumatambay din #AgatonPH #altertacloban,"{'longitude': 124.8960325, 'latitude': 11.1808072}","{'fullName': 'Tacloban City, Eastern Visayas', 'name': 'Tacloban City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
52,2,2022-04-12 02:42:01+00:00,Ito po yung buong barangay po na natabunan po ng landslide..kalahati pa lang po yung survivor..yung iba po missing pa rin… almost 200 persons pa po ang missing..#BaybayNeedsHelp https://t.co/xh6UTujOGB,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
53,0,2022-04-12 02:28:39+00:00,Mas kusog pang hatag sa activities kaysas bagyo,"{'longitude': 123.7376399, 'latitude': 10.2300366}","{'fullName': 'Minglanilla, Central Visayas', 'name': 'Minglanilla', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
54,1,2022-04-12 02:25:35+00:00,"In behalf of BS in Agribusiness Freshmen of VSU, we are here to knock your soft heart for donation to Alviola Family and Peter Cajeric 's  mother and two siblings for their proper burial. They are all victim of landslide in Sitio Waterfall, Brgy. Mailhi, Baybay City, Leyte. https://t.co/wlaj4TkG7k","{'longitude': 124.4758848, 'latitude': 10.9533981}","{'fullName': 'Ormoc City, Eastern Visayas', 'name': 'Ormoc City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
55,1,2022-04-12 02:01:45+00:00,"Baybay has been my second home and after witnessing people dying, begging for help, and losing their families and homes, I can't help but cry and cry. I think of my G 9 students at Baybay High who r at risk right now. Musta na sila? 😭
#LeyteNeedsHelp #AgatonPH #BaybayNeedsHelp","{'longitude': 124.4758848, 'latitude': 10.9533981}","{'fullName': 'Ormoc City, Eastern Visayas', 'name': 'Ormoc City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
56,0,2022-04-12 01:32:41+00:00,been receiving random i miss you's from my friends hays iba talaga it epekto hit bagyo 😂,"{'longitude': 124.8960325, 'latitude': 11.1808072}","{'fullName': 'Tacloban City, Eastern Visayas', 'name': 'Tacloban City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
57,0,2022-04-12 01:25:25+00:00,Bagyo muna huhu,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
58,2,2022-04-12 00:21:50+00:00,Please help boost #BaybayNeedsHelp 🥺💔,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
59,1,2022-04-12 00:20:12+00:00,Nakakalungkot lang kasi isipin na mas nag tretrend pa mga chismis ng mga artista kaysa sa mga pangyayari dito sa amin. Ang dami na po ng namamatay. Tas wala pa ring tigil ang ulan 💔😭,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
60,0,2022-04-12 00:10:00+00:00,bagyo pahawa na intawn,"{'longitude': 123.9114563, 'latitude': 10.3107867}","{'fullName': 'Mandaue City, Central Visayas', 'name': 'Mandaue City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
61,2,2022-04-11 23:23:50+00:00,"❗️❗️#BaybayNeedsHELP ❤️ [April 12, 2022 at 4:22AM ]

Calling the attention of all rescuers from different agencies or organizations, rescuers from different municipalities, rescuers of the Philippines, the people of BAYBAY CITY, Leyte need your help. 
#AgatonPH https://t.co/LlY5KuflkR","{'longitude': 124.7208065, 'latitude': 10.4606567}","{'fullName': 'Inopacan, Eastern Visayas', 'name': 'Inopacan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
62,0,2022-04-11 23:12:44+00:00,@reynreyngoawayy Morning sir amping sir ulan nimo awp hahaha sa ba hahaha🤭😂,"{'longitude': 123.9086254, 'latitude': 10.2035208}","{'fullName': 'Lapu-Lapu City, Central Visayas', 'name': 'Lapu-Lapu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
63,1,2022-04-11 19:20:43+00:00,"Kakampinks!!

CALL FOR DONATIONS: PROJECT HANGKUP

For the victims of Typhoon Agaton in Baybay City, Leyte

We need your help to gather funds and in-kind donations for the food packs, medicine, and hygiene kits we want to give to Typhoon Agaton victims in Baybay City, Leyte. https://t.co/kQhWG4KbXU","{'longitude': 124.908865, 'latitude': 11.1061918}","{'fullName': 'Palo, Eastern Visayas', 'name': 'Palo', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
64,0,2022-04-11 19:03:45+00:00,Yawa gyyd ning bagyo larga nakog bantayan unya yawa ka!!,"{'longitude': 123.9086254, 'latitude': 10.2035208}","{'fullName': 'Lapu-Lapu City, Central Visayas', 'name': 'Lapu-Lapu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
65,0,2022-04-11 17:10:28+00:00,Ang bagyo kay by pair na. Kita ani? Aw,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
66,1,2022-04-11 16:15:21+00:00,"my heart is for the victims of the landslide in Babay, Leyte 😢😢😢","{'longitude': 123.9086254, 'latitude': 10.2035208}","{'fullName': 'Lapu-Lapu City, Central Visayas', 'name': 'Lapu-Lapu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
67,0,2022-04-11 14:24:14+00:00,Hunong na tawn agaton malooy ka daghan pakog apason kay tungod atong bagyo last year😳😢,"{'longitude': 123.9114563, 'latitude': 10.3107867}","{'fullName': 'Mandaue City, Central Visayas', 'name': 'Mandaue City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
68,2,2022-04-11 14:10:16+00:00,"Pray for baybay, leyte
We need help","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
69,0,2022-04-11 13:41:00+00:00,@143redangel Help,"{'longitude': 124.791516, 'latitude': 11.1462738}","{'fullName': 'Alangalang, Eastern Visayas', 'name': 'Alangalang', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
70,0,2022-04-11 13:24:14+00:00,@BeN_BAbe26 Wa kay bagyo!!!,"{'longitude': 123.9086254, 'latitude': 10.2035208}","{'fullName': 'Lapu-Lapu City, Central Visayas', 'name': 'Lapu-Lapu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
71,0,2022-04-11 13:24:03+00:00,Ok ra man mabasa sa ulan ayaw lang ko pisika og tubig sa dalan. Struggle jud ning maglakaw ta sa dalan then naay paspas nga sakyanan. 🙄,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
72,0,2022-04-11 13:19:32+00:00,"baha nasa diris amoa hahaysss, samot ng mga taga loyo kalooy jud 😩","{'longitude': 123.8393178, 'latitude': 10.4764289}","{'fullName': 'Danao City, Central Visayas', 'name': 'Danao City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
73,1,2022-04-11 13:11:40+00:00,Been hearing how bad the situation is in Leyte due to the nonstop rains &amp; landslide. 🙏🙏🙏😢😔,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
74,2,2022-04-11 12:28:14+00:00,"My Beloved Home Town The 5th District of Leyte distroyed by Typhoon Agaton in need of help 🙏😭
#AgatonPH #BaybayNeedsHelp https://t.co/NXFCC2zkp3","{'longitude': 124.7208065, 'latitude': 10.4606567}","{'fullName': 'Inopacan, Eastern Visayas', 'name': 'Inopacan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
